word,meaning,pronunciation,example,cefr
hello,xin chao,/həˈloʊ/,"Hello, how are you?",A1
goodbye,tam biet,/ɡʊdˈbaɪ/,"Goodbye, see you tomorrow.",A1
thank you,cam on,/θæŋk juː/,"Thank you for your help.",A1
please,lam on,/pliːz/,"Please sit down.",A1
yes,co,/jes/,"Yes, I agree.",A1
no,khong,/noʊ/,"No, thank you.",A1
water,nuoc,/ˈwɔːtər/,"Can I have some water?",A1
food,thuc an,/fuːd/,"The food is delicious.",A1
time,thoi gian,/taɪm/,"What time is it?",A1
day,ngay,/deɪ/,"Have a nice day.",A1
night,dem,/naɪt/,"Good night.",A1
morning,buoi sang,/ˈmɔːrnɪŋ/,"Good morning.",A1
friend,ban,/frend/,"She is my friend.",A1
family,gia dinh,/ˈfæməli/,"I love my family.",A1
work,cong viec,/wɜːrk/,"I go to work every day.",A1
study,hoc,/ˈstʌdi/,"I study English every evening.",A1
learn,hoc hoi,/lɜːrn/,"Children learn quickly.",A1
read,doc,/riːd/,"I read books before bed.",A1
write,viet,/raɪt/,"Please write your name here.",A1
speak,noi,/spiːk/,"Do you speak English?",A1
listen,nghe,/ˈlɪsən/,"Listen carefully.",A1
think,suy nghi,/θɪŋk/,"I think you are right.",A1
know,biet,/noʊ/,"I know the answer.",A1
want,muon,/wɒnt/,"I want to learn more.",A1
need,can,/niːd/,"We need more time.",A1
like,thich,/laɪk/,"I like this app.",A1
love,yeu,/lʌv/,"I love learning languages.",A1
help,giup do,/help/,"Can you help me?",A1
try,co gang,/traɪ/,"Try again.",A1
use,su dung,/juːz/,"How do you use this?",A1
make,lam,/meɪk/,"Make a sentence.",A1
go,di,/ɡoʊ/,"Let us go home.",A1
come,den,/kʌm/,"Come here, please.",A1
see,nhin thay,/siː/,"I see the problem.",A1
look,nhin,/lʊk/,"Look at the board.",A1
find,tim,/faɪnd/,"I cannot find my keys.",A1
give,cho,/ɡɪv/,"Give me an example.",A1
take,lay,/teɪk/,"Take your time.",A1
get,nhan duoc,/ɡet/,"I get your point.",A1
put,dat,/pʊt/,"Put it on the table.",A1
big,to,/bɪɡ/,"This is a big house.",A1
small,nho,/smɔːl/,"A small change can help.",A1
good,tot,/ɡʊd/,"That is a good idea.",A1
bad,xau,/bæd/,"Bad weather today.",A1
new,moi,/njuː/,"I bought a new phone.",A1
old,cu,/oʊld/,"An old book.",A1
happy,vui,/ˈhæpi/,"I am happy today.",A1
sad,buon,/sæd/,"Why are you sad?",A1
easy,de,/ˈiːzi/,"This lesson is easy.",A2
hard,kho,/hɑːrd/,"English is hard but fun.",A2
important,quan trong,/ɪmˈpɔːrtnt/,"Sleep is important.",A2
different,khac nhau,/ˈdɪfrənt/,"We are different.",A2
same,giong nhau,/seɪm/,"We have the same goal.",A2
right,dung,/raɪt/,"You are right.",A2
wrong,sai,/rɔːŋ/,"That answer is wrong.",A2
question,cau hoi,/ˈkwestʃən/,"Ask a question.",A2
answer,cau tra loi,/ˈænsər/,"What is the answer?",A2
problem,van de,/ˈprɒbləm/,"We solved the problem.",A2
idea,y tuong,/aɪˈdɪə/,"That is a great idea.",A2
money,tien,/ˈmʌni/,"Save money.",A2
job,cong viec,/dʒɒb/,"She found a new job.",A2
school,truong hoc,/skuːl/,"School starts at eight.",A2
teacher,giao vien,/ˈtiːtʃər/,"The teacher is kind.",A2
student,hoc sinh,/ˈstjuːdnt/,"Every student needs practice.",A2
book,sach,/bʊk/,"Open your book.",A2
word,tu,/wɜːrd/,"Learn one word a day.",A2
language,ngon ngu,/ˈlæŋɡwɪdʒ/,"English is a global language.",A2
country,quoc gia,/ˈkʌntri/,"Which country are you from?",A2
city,thanh pho,/ˈsɪti/,"I live in a big city.",A2
home,nha,/hoʊm/,"I am at home.",A2
phone,dien thoai,/foʊn/,"My phone is ringing.",A2
computer,may tinh,/kəmˈpjuːtər/,"Use a computer to study.",A2
internet,mang internet,/ˈɪntərnet/,"Search on the internet.",A2
email,email,/ˈiːmeɪl/,"Send me an email.",A2
today,hom nay,/təˈdeɪ/,"What are you doing today?",A2
tomorrow,ngay mai,/təˈmɒroʊ/,"See you tomorrow.",A2
yesterday,hom qua,/ˈjestərdeɪ/,"I studied yesterday.",A2
week,tuan,/wiːk/,"Next week is busy.",A2
month,thang,/mʌnθ/,"This month I will travel.",A2
year,nam,/jɪr/,"Happy new year.",B1
always,luon luon,/ˈɔːlweɪz/,"Always be polite.",B1
never,khong bao gio,/ˈnevər/,"Never give up.",B1
sometimes,thinh thoang,/ˈsʌmtaɪmz/,"Sometimes I forget.",B1
often,thuong xuyen,/ˈɒfn/,"I often practice speaking.",B1
quickly,nhanh,/ˈkwɪkli/,"Finish quickly.",B1
slowly,cham,/ˈsloʊli/,"Speak slowly, please.",B1
because,vi,/bɪˈkɒz/,"I stayed because it rained.",B1
but,nhung,/bʌt/,"I tried, but I failed.",B1
and,va,/ænd/,"You and I.",B1
or,hoac,/ɔːr/,"Tea or coffee?",B1
if,neu,/ɪf/,"If you study, you improve.",B1
when,khi,/wen/,"When do you start?",B1
where,o dau,/weər/,"Where do you live?",B1
who,ai,/huː/,"Who is that?",B1
what,gi,/wɒt/,"What does it mean?",B1
why,tai sao,/waɪ/,"Why learn English?",B1
how,the nao,/haʊ/,"How do you say this?",B1
very,rat,/ˈveri/,"Very good job.",B1
too,qua,/tuː/,"This is too difficult.",B1
also,cung,/ˈɔːlsoʊ/,"I also like music.",B1
only,chi,/ˈoʊnli/,"Only five minutes left.",B1
more,nhieu hon,/mɔːr/,"I need more examples.",B1
less,it hon,/les/,"Use less sugar.",B1
first,dau tien,/fɜːrst/,"First, read the text.",B1
last,cuoi cung,/læst/,"This is the last question.",B1
