word,meaning,pronunciation,example,cefr
appointment,cuoc hen,/əˈpɔɪntmənt/,"I have a doctor appointment.",A2
arrive,den noi,/əˈraɪv/,"We arrive at noon.",A2
borrow,muon,/ˈbɒroʊ/,"Can I borrow your pen?",A2
breakfast,buoi sang,/ˈbrekfəst/,"Breakfast is ready.",A2
bus,xe buyt,/bʌs/,"Take the bus to work.",A2
calendar,lich,/ˈkælɪndər/,"Check the calendar.",A2
call,goi dien,/kɔːl/,"Call me later.",A2
cash,tien mat,/kæʃ/,"Pay in cash.",A2
check,kiem tra,/tʃek/,"Check your email.",A2
clean,don dep,/kliːn/,"Clean your room.",A2
coffee,ca phe,/ˈkɒfi/,"Coffee or tea?",A2
cook,nau an,/kʊk/,"I cook dinner at home.",A2
customer,khach hang,/ˈkʌstəmər/,"The customer is waiting.",A2
deliver,giao hang,/dɪˈlɪvər/,"Deliver the package today.",A2
discount,giam gia,/ˈdɪskaʊnt/,"There is a ten percent discount.",A2
doctor,bac si,/ˈdɒktər/,"See a doctor if needed.",A2
driver,tai xe,/ˈdraɪvər/,"The driver stopped the car.",A2
exercise,tap the duc,/ˈeksərsaɪz/,"Exercise every morning.",A2
flight,chuyen bay,/flaɪt/,"Our flight is delayed.",A2
grocery,cua hang tap hoa,/ˈɡroʊsəri/,"Buy groceries after work.",A2
guest,khach,/ɡest/,"We have guests tonight.",A2
hotel,khach san,/hoʊˈtel/,"Book a hotel online.",A2
invoice,hoa don,/ˈɪnvɔɪs/,"Pay the invoice.",A2
kitchen,bep,/ˈkɪtʃɪn/,"She is in the kitchen.",A2
laundry,giat ui,/ˈlɔːndri/,"Do the laundry on Sunday.",A2
lunch,buoi trua,/lʌntʃ/,"Let us have lunch together.",A2
manager,quan ly,/ˈmænɪdʒər/,"Ask the manager.",A2
meeting,cuoc hop,/ˈmiːtɪŋ/,"The meeting starts at nine.",A2
menu,thuc don,/ˈmenjuː/,"May I see the menu?",A2
message,tin nhan,/ˈmesɪdʒ/,"Leave a message.",A2
neighbor,hang xom,/ˈneɪbər/,"My neighbor is friendly.",A2
office,van phong,/ˈɒfɪs/,"I work in an office.",A2
order,dat hang,/ˈɔːrdər/,"I would like to order coffee.",A2
passport,ho chieu,/ˈpæspɔːrt/,"Bring your passport.",A2
payment,thanh toan,/ˈpeɪmənt/,"Payment is due today.",A2
pharmacy,nha thuoc,/ˈfɑːrməsi/,"Buy medicine at the pharmacy.",A2
polite,lich su,/pəˈlaɪt/,"Be polite to staff.",A2
receipt,bien lai,/rɪˈsiːt/,"Keep the receipt.",A2
repair,sua chua,/rɪˈper/,"Repair the broken chair.",A2
restaurant,nha hang,/ˈrestrɒnt/,"This restaurant is popular.",A2
schedule,lich trinh,/ˈskedʒuːl/,"Check your schedule.",A2
shopping,mua sam,/ˈʃɒpɪŋ/,"We go shopping on weekends.",A2
signature,chu ky,/ˈsɪɡnətʃər/,"Sign your signature here.",A2
station,nha ga,/ˈsteɪʃn/,"Meet me at the station.",A2
subway,tau dien ngam,/ˈsʌbweɪ/,"Take the subway downtown.",A2
supermarket,sieu thi,/ˈsuːpərmɑːrkɪt/,"The supermarket is nearby.",A2
ticket,ve,/ˈtɪkɪt/,"Buy a ticket online.",A2
traffic,giao thong,/ˈtræfɪk/,"Traffic is heavy today.",A2
train,tau hoa,/treɪn/,"The train leaves at six.",A2
travel,du lich,/ˈtrævl/,"I love to travel.",A2
vacation,ky nghi,/veɪˈkeɪʃn/,"We plan a vacation.",A2
waiter,phuc vu,/ˈweɪtər/,"The waiter brought water.",A2
weather,thoi tiet,/ˈweðər/,"The weather is nice.",A2
address,dia chi,/əˈdres/,"What is your address?",A2
airport,san bay,/ˈerpɔːrt/,"Go to the airport early.",A2
bag,tui,/bæɡ/,"Pack your bag.",A2
bank,ngan hang,/bæŋk/,"Open a bank account.",A2
bathroom,phong tam,/ˈbæθruːm/,"Where is the bathroom?",A2
bedroom,phong ngu,/ˈbedruːm/,"The bedroom is upstairs.",A2
bill,hoa don,/bɪl/,"Can we have the bill?",A2
birthday,sinh nhat,/ˈbɜːrθdeɪ/,"Happy birthday!",A2
boss,sep,/bɒs/,"My boss is supportive.",A2
break,nghi giai lao,/breɪk/,"Take a short break.",A2
building,toa nha,/ˈbɪldɪŋ/,"A tall building.",A2
cab,taxi,/kæb/,"Call a cab.",A2
card,the,/kɑːrd/,"Pay by card.",A2
chair,ghe,/tʃer/,"Sit on the chair.",B1
class,lop hoc,/klæs/,"English class at five.",B1
clock,dong ho,/klɒk/,"The clock is slow.",B1
colleague,dong nghiep,/ˈkɒliːɡ/,"My colleague helped me.",B1
complaint,khieu nai,/kəmˈpleɪnt/,"File a complaint politely.",B1
conversation,cuoc tro chuyen,/ˌkɒnvərˈseɪʃn/,"Start a conversation.",B1
cost,chi phi,/kɒst/,"What is the total cost?",B1
course,khoa hoc,/kɔːrs/,"Join an online course.",B1
deadline,han chot,/ˈdedlaɪn/,"Meet the deadline.",B1
delivery,giao hang,/dɪˈlɪvəri/,"Free delivery today.",B1
direction,huong dan,/dəˈrekʃn/,"Ask for directions.",B1
document,tai lieu,/ˈdɒkjumənt/,"Sign the document.",B1
emergency,tinh huong khan cap,/ɪˈmɜːrdʒənsi/,"Call emergency services.",B1
entrance,loi vao,/ˈentrəns/,"Use the main entrance.",B1
explain,giai thich,/ɪkˈspleɪn/,"Explain it simply.",B1
favorite,yeu thich,/ˈfeɪvərɪt/,"What is your favorite food?",B1
feedback,phan hoi,/ˈfiːdbæk/,"We welcome feedback.",B1
foreign,nuoc ngoai,/ˈfɒrən/,"Foreign languages are useful.",B1
form,mau don,/fɔːrm/,"Fill out the form.",B1
gift,qua tang,/ɡɪft/,"Buy a gift.",B1
habit,thoi quen,/ˈhæbɪt/,"Build good habits.",B1
health,suc khoe,/helθ/,"Health comes first.",B1
holiday,ngay le,/ˈhɒlədeɪ/,"Enjoy the holiday.",B1
information,thong tin,/ˌɪnfərˈmeɪʃn/,"Need more information.",B1
interview,phong van,/ˈɪntərvjuː/,"Prepare for the interview.",B1
invitation,loi moi,/ˌɪnvɪˈteɪʃn/,"Accept the invitation.",B1
journey,hanh trinh,/ˈdʒɜːrni/,"Safe journey!",B1
key,chia khoa,/kiː/,"I lost my key.",B1
leave,roi di,/liːv/,"What time do you leave?",B1
letter,thu,/ˈletər/,"Write a letter.",B1
location,vi tri,/loʊˈkeɪʃn/,"Share your location.",B1
luggage,hanh ly,/ˈlʌɡɪdʒ/,"Check your luggage.",B1
map,ban do,/mæp/,"Use a map.",B1
market,cho,/ˈmɑːrkɪt/,"Visit the local market.",B1
medicine,thuoc,/ˈmedsn/,"Take medicine after meals.",B1
minute,phut,/ˈmɪnɪt/,"Wait a minute.",B1
mistake,loi sai,/mɪˈsteɪk/,"Learn from mistakes.",B1
museum,bao tang,/mjuˈziːəm/,"The museum is closed Monday.",B1
news,tin tuc,/njuːz/,"Good news today.",B1
offer,de nghi,/ˈɒfər/,"Thank you for the offer.",B1
opinion,y kien,/əˈpɪnjən/,"In my opinion, practice helps.",B1
package,goi hang,/ˈpækɪdʒ/,"Track your package.",B1
park,cong vien,/pɑːrk/,"Walk in the park.",B1
password,mat khau,/ˈpæswɜːrd/,"Choose a strong password.",B1
permission,su cho phep,/pərˈmɪʃn/,"Ask for permission.",B1
picture,hinh anh,/ˈpɪktʃər/,"Send a picture.",B1
plan,ke hoach,/plæn/,"Make a plan.",B1
platform,san ga,/ˈplætfɔːrm/,"Wait on platform two.",B1
price,gia,/praɪs/,"The price is fair.",B1
product,san pham,/ˈprɒdʌkt/,"This product is new.",B1
promise,loi hua,/ˈprɒmɪs/,"Keep your promise.",B1
public,cong cong,/ˈpʌblɪk/,"Use public transport.",B1
quality,chat luong,/ˈkwɒləti/,"High quality service.",B1
queue,hang doi,/kjuː/,"Join the queue.",B1
reason,ly do,/ˈriːzn/,"What is the reason?",B1
recommend,gioi thieu,/ˌrekəˈmend/,"I recommend this book.",B1
remember,nho,/rɪˈmembər/,"Remember to practice.",B2
rent,thue,/rent/,"Rent an apartment.",B2
repeat,lap lai,/rɪˈpiːt/,"Please repeat that.",B2
report,bao cao,/rɪˈpɔːrt/,"Submit the report.",B2
request,yeu cau,/rɪˈkwest/,"Send a request.",B2
reservation,dat cho,/ˌrezərˈveɪʃn/,"Make a reservation.",B2
return,quay lai,/rɪˈtɜːrn/,"Return the book.",B2
room,phong,/ruːm/,"Book a room.",B2
rule,quy tac,/ruːl/,"Follow the rules.",B2
safe,an toan,/seɪf/,"Stay safe.",B2
sale,giam gia,/seɪl/,"Big sale this week.",B2
save,tiet kiem,/seɪv/,"Save your work.",B2
search,tim kiem,/sɜːrtʃ/,"Search online.",B2
seat,ghe ngoi,/siːt/,"Is this seat free?",B2
service,dich vu,/ˈsɜːrvɪs/,"Good customer service.",B2
share,chia se,/ʃer/,"Share your notes.",B2
shop,cua hang,/ʃɒp/,"The shop closes at nine.",B2
show,cho xem,/ʃoʊ/,"Show me how.",B2
size,co,/saɪz/,"What size do you need?",B2
skill,ky nang,/skɪl/,"Practice speaking skills.",B2
sleep,ngu,/sliːp/,"Sleep eight hours.",B2
smile,cuoi,/smaɪl/,"Smile more often.",B2
sorry,xin loi,/ˈsɒri/,"Sorry for the delay.",B2
sound,am thanh,/saʊnd/,"That sounds good.",B2
special,dac biet,/ˈspeʃl/,"Today is special.",B2
start,bat dau,/stɑːrt/,"Start now.",B2
stop,dung lai,/stɒp/,"Stop here, please.",B2
store,cua hang,/stɔːr/,"The store is open.",B2
story,cau chuyen,/ˈstɔːri/,"Tell me a story.",B2
street,duong pho,/striːt/,"Cross the street carefully.",B2
stress,cang thang,/stres/,"Manage stress well.",B2
success,thanh cong,/səkˈses/,"Wish you success.",B2
suggest,de xuat,/səˈdʒest/,"I suggest more practice.",B2
support,ho tro,/səˈpɔːrt/,"Thank you for your support.",B2
surprise,bat ngo,/sərˈpraɪz/,"What a surprise!",B2
table,ban,/ˈteɪbl/,"Set the table.",B2
task,nhiem vu,/tæsk/,"Complete the task.",B2
team,doi nhom,/tiːm/,"Work as a team.",B2
telephone,dien thoai,/ˈtelɪfoʊn/,"Answer the telephone.",B2
temperature,nhiet do,/ˈtemprətʃər/,"The temperature dropped.",B2
test,bai kiem tra,/test/,"Pass the test.",B2
text,tin nhan,/tekst/,"Send a text.",B2
thing,vat,/θɪŋ/,"One thing at a time.",B2
tip,meo,/tɪp/,"Here is a useful tip.",B2
title,tieu de,/ˈtaɪtl/,"Write a clear title.",B2
topic,chu de,/ˈtɒpɪk/,"Choose a topic.",B2
total,tong cong,/ˈtoʊtl/,"What is the total?",B2
tourist,du khach,/ˈtʊrɪst/,"Many tourists visit.",B2
town,thi tran,/taʊn/,"A small town.",B2
translate,dich,/trænsˈleɪt/,"Translate this sentence.",B2
trip,chuyen di,/trɪp/,"Have a safe trip.",B2
turn,re,/tɜːrn/,"Turn left.",B2
useful,huu ich,/ˈjuːsfl/,"Very useful phrase.",B2
visit,tham,/ˈvɪzɪt/,"Visit us soon.",B2
voice,giong noi,/vɔɪs/,"Speak with a clear voice.",B2
walk,di bo,/wɔːk/,"Walk to school.",B2
wallet,vi tien,/ˈwɒlɪt/,"I lost my wallet.",B2
wash,rua,/wɒʃ/,"Wash your hands.",B2
watch,xem,/wɒtʃ/,"Watch a movie.",B2
website,trang web,/ˈwebsaɪt/,"Visit our website.",B2
welcome,chao mung,/ˈwelkəm/,"Welcome aboard.",B2
window,cua so,/ˈwɪndoʊ/,"Open the window.",B2
wish,uoc,/wɪʃ/,"Best wishes.",B2
world,the gioi,/wɜːrld/,"Travel the world.",B2
worry,lo lang,/ˈwʌri/,"Do not worry.",B2
